{ 1 JetEta 1 JetPt [0] Correction L2Relative}
         -5.191   	    -3.489    3     3     3500    	   1.09464
         -3.489   	    -3.139    3     3     3500    	     1.089
         -3.139   	    -2.964    3     3     3500    	   1.11593
         -2.964   	    -2.853    3     3     3500    	   1.01688
         -2.853   	      -2.5    3     3     3500    	   1.01949
           -2.5   	    -2.411    3     3     3500    	   1.02124
         -2.411   	    -2.322    3     3     3500    	   1.03806
         -2.322   	     -1.93    3     3     3500    	   1.03693
          -1.93   	    -1.479    3     3     3500    	   1.03641
         -1.479   	    -1.305    3     3     3500    	   1.04149
         -1.305   	    -1.131    3     3     3500    	   1.04182
         -1.131   	    -0.957    3     3     3500    	    1.0344
         -0.957   	    -0.783    3     3     3500    	   1.02675
         -0.783   	    -0.522    3     3     3500    	   1.02688
         -0.522   	    -0.261    3     3     3500    	   1.02065
         -0.261   	         0    3     3     3500    	   1.01306
              0   	     0.261    3     3     3500    	   1.01306
          0.261   	     0.522    3     3     3500    	   1.02065
          0.522   	     0.783    3     3     3500    	   1.02688
          0.783   	     0.957    3     3     3500    	   1.02675
          0.957   	     1.131    3     3     3500    	    1.0344
          1.131   	     1.305    3     3     3500    	   1.04182
          1.305   	     1.479    3     3     3500    	   1.04149
          1.479   	      1.93    3     3     3500    	   1.03641
           1.93   	     2.322    3     3     3500    	   1.03693
          2.322   	     2.411    3     3     3500    	   1.03806
          2.411   	       2.5    3     3     3500    	   1.02124
            2.5   	     2.853    3     3     3500    	   1.01949
          2.853   	     2.964    3     3     3500    	   1.01688
          2.964   	     3.139    3     3     3500    	   1.11593
          3.139   	     3.489    3     3     3500    	     1.089
          3.489   	     5.191    3     3     3500    	   1.09464
