{1         JetEta              1          JetPt               [0]-TMath::Abs([1])*TMath::ATan(log10(x/[2]))     Correction     L2Relative}
-5                  -4                   5                   4         128.1660004        0.9427210093                   0         128.1660004                   
-4                -3.5                   5                   4         211.1889954         0.960382998                   0         211.1889954                   
-3.5                  -3                   5                   4         347.6480103        0.9525629878                   0         347.6480103                   
-3        -2.700000048                   5                   4          468.322998        0.9094570279                   0          468.322998                   
-2.700000048        -2.400000095                   5                   4           629.84198         0.923560977                   0           629.84198                   
-2.400000095        -2.099999905                   5                   4         844.5310059        0.9683099985                   0         844.5310059                   
-2.099999905        -1.799999952                   5                   4         1126.319946         0.978030026                   0         1126.319946                   
-1.799999952                -1.5                   5                   4         1487.839966        0.9803760052                   0         1487.839966                   
-1.5        -1.299999952                   5                   4         1775.829956         1.017310023                   0         1775.829956                   
-1.299999952        -1.100000024                   5                   4         2097.669922         1.005059958                   0         2097.669922                   
-1.100000024       -0.8999999762                   5                   4         2442.280029          1.00996995                   0         2442.280029                   
-0.8999999762       -0.6000000238                   5                   4         2952.429932         1.008030057                   0         2952.429932                   
-0.6000000238       -0.3000000119                   5                   4         3348.199951        0.9990280271                   0         3348.199951                   
-0.3000000119                   0                   5                   4                3500        0.9921169877                   0                3500                   
0        0.3000000119                   5                   4                3500        0.9921169877                   0                3500                   
0.3000000119        0.6000000238                   5                   4         3348.199951        0.9990280271                   0         3348.199951                   
0.6000000238        0.8999999762                   5                   4         2952.429932         1.008030057                   0         2952.429932                   
0.8999999762         1.100000024                   5                   4         2442.280029          1.00996995                   0         2442.280029                   
1.100000024         1.299999952                   5                   4         2097.669922         1.005059958                   0         2097.669922                   
1.299999952                 1.5                   5                   4         1775.829956         1.017310023                   0         1775.829956                   
1.5         1.799999952                   5                   4         1487.839966        0.9803760052                   0         1487.839966                   
1.799999952         2.099999905                   5                   4         1126.319946         0.978030026                   0         1126.319946                   
2.099999905         2.400000095                   5                   4         844.5310059        0.9683099985                   0         844.5310059                   
2.400000095         2.700000048                   5                   4           629.84198         0.923560977                   0           629.84198                   
2.700000048                   3                   5                   4          468.322998        0.9094570279                   0          468.322998                   
3                 3.5                   5                   4         347.6480103        0.9525629878                   0         347.6480103                   
3.5                   4                   5                   4         211.1889954         0.960382998                   0         211.1889954                   
4                   5                   5                   4         128.1660004        0.9427210093                   0         128.1660004                   
