{1         JetEta              1          JetPt               [0]-TMath::Abs([1])*TMath::ATan(log10(x/[2]))     Correction     L2Relative}
-5                  -4                   5                   4         128.1660004          1.00188005                   0         128.1660004                   
-4                -3.5                   5                   4         211.1889954         1.016350031                   0         211.1889954                   
-3.5                  -3                   5                   4         347.6480103         1.001320004                   0         347.6480103                   
-3        -2.700000048                   5                   4          468.322998        0.9292510152                   0          468.322998                   
-2.700000048        -2.400000095                   5                   4           629.84198        0.9205819964                   0           629.84198                   
-2.400000095        -2.099999905                   5                   4         844.5310059        0.9755179882                   0         844.5310059                   
-2.099999905        -1.799999952                   5                   4         1126.319946        0.9903860092                   0         1126.319946                   
-1.799999952                -1.5                   5                   4         1487.839966         1.000249982                   0         1487.839966                   
-1.5        -1.299999952                   5                   4         1775.829956         1.023270011                   0         1775.829956                   
-1.299999952        -1.100000024                   5                   4         2097.669922         1.005869985                   0         2097.669922                   
-1.100000024       -0.8999999762                   5                   4         2442.280029         1.010929942                   0         2442.280029                   
-0.8999999762       -0.6000000238                   5                   4         2952.429932         1.001629949                   0         2952.429932                   
-0.6000000238       -0.3000000119                   5                   4         3348.199951        0.9971979856                   0         3348.199951                   
-0.3000000119                   0                   5                   4                3500         0.995889008                   0                3500                   
0        0.3000000119                   5                   4                3500         0.995889008                   0                3500                   
0.3000000119        0.6000000238                   5                   4         3348.199951        0.9971979856                   0         3348.199951                   
0.6000000238        0.8999999762                   5                   4         2952.429932         1.001629949                   0         2952.429932                   
0.8999999762         1.100000024                   5                   4         2442.280029         1.010929942                   0         2442.280029                   
1.100000024         1.299999952                   5                   4         2097.669922         1.005869985                   0         2097.669922                   
1.299999952                 1.5                   5                   4         1775.829956         1.023270011                   0         1775.829956                   
1.5         1.799999952                   5                   4         1487.839966         1.000249982                   0         1487.839966                   
1.799999952         2.099999905                   5                   4         1126.319946        0.9903860092                   0         1126.319946                   
2.099999905         2.400000095                   5                   4         844.5310059        0.9755179882                   0         844.5310059                   
2.400000095         2.700000048                   5                   4           629.84198        0.9205819964                   0           629.84198                   
2.700000048                   3                   5                   4          468.322998        0.9292510152                   0          468.322998                   
3                 3.5                   5                   4         347.6480103         1.001320004                   0         347.6480103                   
3.5                   4                   5                   4         211.1889954         1.016350031                   0         211.1889954                   
4                   5                   5                   4         128.1660004          1.00188005                   0         128.1660004                   
