Run,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
160431,244,7935.5658889,[19-218],6657.70275973
160577,338,11198.490405,[254-306],1623.35908951
160578,457,13618.2091939,"[6-53], [274-400]",4931.22827091
160871,236,154598.794468,[68-208],104581.580536
160872,76,55684.168438,"[1-9], [25-35], [38-55]",23604.4895365
160873,200,139342.567973,[1-147],101535.788089
160874,131,86059.2956471,"[1-51], [97-113]",42010.6046365
160939,147,182287.159989,[1-123],149609.289563
160940,89,106389.844621,[1-79],91371.1929183
160942,25,29302.2104804,[1-12],12209.2417212
160943,84,78988.5291262,[1-54],59546.1827041
160955,227,778968.167484,"[1-130], [133-138], [140-151], [153-154], [156-172], [175-201], [204-206]",413915.671739
160956,72,232412.877625,[2-65],198545.794749
160957,981,2641541.18394,[1-953],2506557.3968
160998,287,787368.864627,[2-252],679400.910206
161008,284,710145.962354,[2-77],193226.45541
161016,326,742078.294109,[2-300],671576.539449
161103,111,437926.743029,[2-100],379484.837111
161106,39,145837.891222,[2-26],92352.2665127
161107,39,142131.502676,[2-29],100872.579052
161113,44,154974.140743,[2-24],79631.6551331
161116,20,69466.13694,[2-11],34416.2304419
161117,30,102992.319763,[2-24],77689.7359027
161119,220,667032.342566,"[1-1], [7-58], [69-108], [115-141], [145-173], [179-210]",522013.88139
161176,76,123586.933235,[1-31],84313.617052
161217,787,3881878.24921,[37-753],3487478.24949
161222,135,562214.235386,[1-97],401163.352428
161223,408,1568134.8395,[1-375],1432966.45402
161233,80,253446.959569,[33-33],2860.65320556
161310,126,597969.228673,[39-116],434664.277615
161311,703,3364438.68966,"[1-554], [559-649]",3095074.95215
161312,1129,3953127.16512,"[1-826], [835-1027]",3650806.36018
162762,110,414308.25972,[1-102],377521.039903
162765,65,85099.1614997,[1-40],79286.3336461
162803,147,522582.278096,[60-139],423183.072613
162808,62,330898.717075,[1-51],263374.813721
162811,347,1678742.05495,[1-340],1652215.312
162822,313,1374368.98943,[73-307],1207529.21619
162825,201,966964.568504,[1-184],869533.642256
162826,42,195316.7254,[1-24],104126.210228
162828,150,358249.416069,[1-85],354332.670837
162909,338,1924141.8546,[54-290],1788678.89091
163046,313,1623362.60773,"[1-133], [135-238]",1592748.91553
163069,647,4284762.53861,"[73-452], [468-633]",3897614.77322
163071,193,1254503.95955,[1-161],1035106.72479
163078,49,229396.580013,[1-23],136237.783037
163232,173,584148.175939,[110-149],265598.164599
163233,301,1940034.91078,[1-283],1802189.81456
163234,73,444371.099063,[1-66],390925.090137
163235,473,2684945.08337,[1-461],2591070.40918
163237,219,1134882.57917,[1-213],1090349.13325
163238,29,61845.5015339,[9-15],21147.7406896
163252,156,1121140.24609,[60-137],676648.137586
163255,1066,7977222.73868,"[1-359], [412-844], [846-846], [848-977]",6872321.70854
163261,192,911148.506127,"[1-3], [10-126]",772747.977582
163270,990,8238264.57494,"[1-76], [79-96], [99-475], [479-527], [529-685], [695-928]",7977484.30074
163286,411,2335516.45751,[112-401],1883655.7274
163289,398,2254940.45165,[1-388],2209914.97256
163296,602,5658242.77211,"[59-230], [232-585]",5090286.80243
163297,226,1993499.00479,[1-219],1902939.61413
163300,622,4965283.36319,[1-616],4870837.25868
163301,197,1442737.91233,[1-192],1387738.08642
